片名,评分,评价人数
肖申克的救赎,9.6,737345人评价
这个杀手不太冷,9.4,708508人评价
霸王别姬,9.5,517610人评价
阿甘正传,9.4,615926人评价
美丽人生,9.5,352913人评价
千与千寻,9.2,565126人评价
辛德勒的名单,9.4,326837人评价
海上钢琴师,9.2,528704人评价
泰坦尼克号,9.2,566174人评价
机器人总动员,9.3,444616人评价
盗梦空间,9.2,676200人评价
三傻大闹宝莱坞,9.1,581384人评价
放牛班的春天,9.2,393156人评价
忠犬八公的故事,9.2,378793人评价
大话西游之大圣娶亲,9.1,391887人评价
龙猫,9.1,366039人评价
教父,9.2,300154人评价
乱世佳人,9.2,238179人评价
天堂电影院,9.1,274498人评价
楚门的世界,9.0,380246人评价
当幸福来敲门,8.9,474492人评价
搏击俱乐部,9.0,369693人评价
触不可及,9.1,316853人评价
指环王3：王者无敌,9.1,253538人评价
十二怒汉,9.3,146458人评价
罗马假日,8.9,339209人评价
怦然心动,8.9,461576人评价
天空之城,9.0,288471人评价
无间道,8.9,340515人评价
两杆大烟枪,9.0,243998人评价
大话西游之月光宝盒,8.9,339522人评价
飞屋环游记,8.9,446094人评价
熔炉,9.1,192900人评价
少年派的奇幻漂流,9.0,516161人评价
鬼子来了,9.1,193221人评价
飞越疯人院,9.0,245801人评价
海豚湾,9.3,165450人评价
蝙蝠侠：黑暗骑士,9.0,273622人评价
窃听风暴,9.1,190027人评价
活着,9.0,220202人评价
V字仇杀队,8.8,357950人评价
闻香识女人,8.9,278643人评价
美丽心灵,8.9,268893人评价
天使爱美丽,8.7,432675人评价
指环王2：双塔奇兵,8.9,240900人评价
教父2,9.1,162098人评价
指环王1：魔戒再现,8.9,268506人评价
星际穿越,9.1,412932人评价
哈尔的移动城堡,8.8,297832人评价
情书,8.8,319690人评价
七宗罪,8.7,388654人评价
死亡诗社,8.9,237076人评价
美国往事,9.1,151313人评价
勇敢的心,8.8,264954人评价
钢琴家,9.0,177327人评价
剪刀手爱德华,8.7,428338人评价
致命魔术,8.8,296669人评价
狮子王,8.9,246731人评价
被嫌弃的松子的一生,8.9,227040人评价
音乐之声,8.9,204180人评价
小鞋子,9.1,115175人评价
低俗小说,8.7,286497人评价
入殓师,8.8,286220人评价
辩护人,9.1,157814人评价
蝴蝶效应,8.7,337517人评价
沉默的羔羊,8.7,304557人评价
本杰明·巴顿奇事,8.7,349676人评价
玛丽和马克思,8.9,213100人评价
饮食男女,9.0,151176人评价
黑客帝国,8.8,242147人评价
拯救大兵瑞恩,8.8,199019人评价
西西里的美丽传说,8.7,292804人评价
控方证人,9.5,55576人评价
幽灵公主,8.8,203294人评价
心灵捕手,8.7,228539人评价
第六感,8.8,200979人评价
大鱼,8.7,217752人评价
阳光灿烂的日子,8.7,233601人评价
让子弹飞,8.7,556288人评价
射雕英雄传之东成西就,8.7,236978人评价
阳光姐妹淘,8.8,231273人评价
上帝之城,8.9,139371人评价
素媛,9.0,134498人评价
大闹天宫,9.2,80662人评价
春光乍泄,8.7,200878人评价
重庆森林,8.6,270496人评价
禁闭岛,8.6,307926人评价
萤火虫之墓,8.7,179026人评价
致命ID,8.6,270055人评价
告白,8.6,291947人评价
甜蜜蜜,8.7,199483人评价
一一,8.9,131483人评价
爱在黎明破晓前,8.7,185761人评价
加勒比海盗,8.6,288146人评价
阿凡达,8.6,471145人评价
风之谷,8.8,152335人评价
爱在日落黄昏时,8.7,172401人评价
侧耳倾听,8.8,142146人评价
驯龙高手,8.7,248535人评价
海洋,9.0,90428人评价
布达佩斯大饭店,8.7,253493人评价
断背山,8.5,275691人评价
燃情岁月,8.8,134582人评价
猫鼠游戏,8.7,180503人评价
狩猎,9.0,95049人评价
超脱,8.7,145462人评价
摩登时代,9.1,70361人评价
幸福终点站,8.6,200382人评价
电锯惊魂,8.6,174383人评价
神偷奶爸,8.5,321615人评价
菊次郎的夏天,8.7,150115人评价
虎口脱险,8.9,93853人评价
谍影重重3,8.7,155598人评价
真爱至上,8.5,270434人评价
借东西的小人阿莉埃蒂,8.7,187866人评价
雨人,8.6,184541人评价
贫民窟的百万富翁,8.5,357474人评价
岁月神偷,8.6,271153人评价
记忆碎片,8.5,240172人评价
疯狂原始人,8.8,329019人评价
东邪西毒,8.5,218344人评价
七武士,9.1,63203人评价
倩女幽魂,8.6,208383人评价
哈利·波特与魔法石,8.6,202260人评价
末代皇帝,8.8,128718人评价
穿条纹睡衣的男孩,8.8,110258人评价
穿越时空的少女,8.6,159485人评价
怪兽电力公司,8.6,201955人评价
魂断蓝桥,8.8,114395人评价
恋恋笔记本,8.5,235204人评价
猜火车,8.5,213074人评价
杀人回忆,8.6,171117人评价
卢旺达饭店,8.8,99745人评价
消失的爱人,8.7,290490人评价
黑天鹅,8.5,367178人评价
恐怖直播,8.7,168298人评价
傲慢与偏见,8.4,255888人评价
红辣椒,8.8,99362人评价
完美的世界,9.0,66247人评价
教父3,8.7,109726人评价
英雄本色,8.7,122622人评价
玩具总动员3,8.7,172630人评价
秒速5厘米,8.4,240398人评价
人工智能,8.6,165671人评价
我是山姆,8.8,86739人评价
雨中曲,8.9,78143人评价
纵横四海,8.7,118226人评价
香水,8.4,239453人评价
冰川时代,8.4,237504人评价
萤火之森,8.8,126861人评价
撞车,8.6,153753人评价
喜宴,8.7,109618人评价
浪潮,8.7,108610人评价
碧海蓝天,8.7,98832人评价
朗读者,8.5,247930人评价
追随,9.0,64793人评价
小森林 夏秋篇,8.9,92288人评价
海盗电台,8.6,151313人评价
可可西里,8.6,111879人评价
战争之王,8.5,151802人评价
梦之安魂曲,8.7,92461人评价
哈利·波特与死亡圣器(下),8.6,234703人评价
7号房的礼物,8.6,136204人评价
罗生门,8.7,101596人评价
喜剧之王,8.4,246853人评价
迁徙的鸟,9.1,47088人评价
一次别离,8.7,112043人评价
花样年华,8.4,200654人评价
荒野生存,8.6,110887人评价
谍影重重,8.5,165838人评价
谍影重重2,8.5,135666人评价
时空恋旅人,8.6,154118人评价
勇闯夺命岛,8.5,123612人评价
绿里奇迹,8.7,89523人评价
燕尾蝶,8.6,96878人评价
地球上的星星,8.8,64951人评价
心迷宫,8.6,115977人评价
唐伯虎点秋香,8.3,258701人评价
卡萨布兰卡,8.6,106653人评价
阿飞正传,8.5,146380人评价
英国病人,8.4,156628人评价
超能陆战队,8.6,309351人评价
变脸,8.4,187567人评价
叫我第一名,8.6,93787人评价
惊魂记,8.8,66830人评价
恐怖游轮,8.3,255861人评价
这个男人来自地球,8.5,146758人评价
蝙蝠侠：黑暗骑士崛起,8.5,255684人评价
魔女宅急便,8.4,161974人评价
E.T. 外星人,8.5,130977人评价
穆赫兰道,8.3,197443人评价
再次出发之纽约遇见你,8.5,130358人评价
终结者2：审判日,8.5,120806人评价
发条橙,8.4,161031人评价
非常嫌疑犯,8.6,97981人评价
东京物语,9.1,39552人评价
哪吒闹海,8.8,66356人评价
达拉斯买家俱乐部,8.6,137443人评价
荒蛮故事,8.7,96624人评价
末路狂花,8.7,84756人评价
上帝也疯狂,8.6,83007人评价
曾经,8.3,179850人评价
被解救的姜戈,8.5,225620人评价
源代码,8.3,358120人评价
美国丽人,8.4,159650人评价
忠犬八公物语,9.0,42946人评价
爱·回家,9.1,40177人评价
黑客帝国3：矩阵革命,8.5,129899人评价
黄金三镖客,9.1,41221人评价
新龙门客栈,8.4,155324人评价
蓝色大门,8.2,242724人评价
牯岭街少年杀人事件,8.7,82318人评价
勇士,8.9,75806人评价
初恋这件小事,8.3,396407人评价
两小无猜,8.2,285241人评价
青蛇,8.3,183336人评价
蝴蝶,8.6,86069人评价
无耻混蛋,8.4,192807人评价
暖暖内含光,8.4,125299人评价
麦兜故事,8.5,112655人评价
未麻的部屋,8.7,66478人评价
巴黎淘气帮,8.6,95140人评价
与狼共舞,8.9,49885人评价
城市之光,9.2,33890人评价
爱在暹罗,8.3,199868人评价
夜访吸血鬼,8.3,174454人评价
无敌破坏王,8.7,162089人评价
遗愿清单,8.5,104867人评价
中央车站,8.7,68552人评价
偷拐抢骗,8.5,100008人评价
大卫·戈尔的一生,8.7,69483人评价
爆裂鼓手,8.6,184292人评价
罪恶之城,8.4,126256人评价
国王的演讲,8.3,294273人评价
血钻,8.5,108011人评价
荒岛余生,8.4,111609人评价
小森林 冬春篇,8.9,78356人评价
月球,8.5,120986人评价
寿司之神,8.8,67096人评价
千钧一发,8.7,66825人评价
我爱你,9.0,44599人评价
枪火,8.6,80022人评价
角斗士,8.4,113042人评价
廊桥遗梦,8.5,81110人评价
疯狂的石头,8.2,256901人评价
导盲犬小Q,8.4,106698人评价
不一样的天空,8.6,71955人评价
假如爱有天意,8.2,196201人评价
我们俩,8.6,65483人评价
速度与激情5,8.4,193275人评价
